Year,Quarter,Type of application,Category of leave,Industry,Applications
2012,2012 Q3,Extensions of stay,Worker (Previously Tier 2),Construction,57
2012,2012 Q3,Extensions of stay,Worker (Previously Tier 2),Wholesale and retail trade; repair of motor vehicles and motorcycles,158
2012,2012 Q3,Extensions of stay,Worker (Previously Tier 2),Transportation and Storage,36
2012,2012 Q3,Extensions of stay,Worker (Previously Tier 2),Accommodation and Food Service Activities,453
2012,2012 Q3,Extensions of stay,Worker (Previously Tier 2),Information and Communications,"1,478"
2012,2012 Q3,Extensions of stay,Worker (Previously Tier 2),Financial and Insurance Activities,946
2012,2012 Q3,Extensions of stay,Worker (Previously Tier 2),Real estate activities,18
2012,2012 Q3,Extensions of stay,Worker (Previously Tier 2),"Professional, Scientific and Technical Activities","1,173"
2012,2012 Q3,Extensions of stay,Worker (Previously Tier 2),Administrative and support service activities,131
2012,2012 Q3,Extensions of stay,Worker (Previously Tier 2),Public administration and defence; compulsory social security,111
2012,2012 Q3,Extensions of stay,Worker (Previously Tier 2),Education,981
2012,2012 Q3,Extensions of stay,Worker (Previously Tier 2),Human Health and Social Work Activities,"1,693"
2012,2012 Q3,Extensions of stay,Worker (Previously Tier 2),"Arts, Entertainment and Recreation",140
2012,2012 Q3,Extensions of stay,Worker (Previously Tier 2),Other Service Activities,82
2012,2012 Q3,Extensions of stay,Worker (Previously Tier 2),Activities of extraterritorial organisations and bodies,4
2012,2012 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Accommodation and Food Service Activities,1
2012,2012 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Information and Communications,1
2012,2012 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Financial and Insurance Activities,1
2012,2012 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),"Professional, Scientific and Technical Activities",3
2012,2012 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Administrative and support service activities,17
2012,2012 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Public administration and defence; compulsory social security,1
2012,2012 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Education,22
2012,2012 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Human Health and Social Work Activities,5
2012,2012 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),"Arts, Entertainment and Recreation",34
2012,2012 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Other Service Activities,5
2012,2012 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Activities of households as employers; production activities of household for own use,2
2012,2012 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Activities of extraterritorial organisations and bodies,19
2012,2012 Q4,Visa,Worker (Previously Tier 2),Mining and Quarrying,208
2012,2012 Q4,Visa,Worker (Previously Tier 2),Manufacturing,513
2012,2012 Q4,Visa,Worker (Previously Tier 2),"Electricity, gas, steam and air conditioning supply",22
2012,2012 Q4,Visa,Worker (Previously Tier 2),"Water supply; sewerage, waste management and remediation activities",3
2012,2012 Q4,Visa,Worker (Previously Tier 2),Construction,94
2012,2012 Q4,Visa,Worker (Previously Tier 2),Wholesale and retail trade; repair of motor vehicles and motorcycles,133
2012,2012 Q4,Visa,Worker (Previously Tier 2),Transportation and Storage,57
2012,2012 Q4,Visa,Worker (Previously Tier 2),Accommodation and Food Service Activities,98
2012,2012 Q4,Visa,Worker (Previously Tier 2),Information and Communications,"4,027"
2012,2012 Q4,Visa,Worker (Previously Tier 2),Financial and Insurance Activities,"1,114"
2012,2012 Q4,Visa,Worker (Previously Tier 2),Real estate activities,10
2012,2012 Q4,Visa,Worker (Previously Tier 2),"Professional, Scientific and Technical Activities","1,696"
2012,2012 Q4,Visa,Worker (Previously Tier 2),Administrative and support service activities,126
2012,2012 Q4,Visa,Worker (Previously Tier 2),Public administration and defence; compulsory social security,10
2012,2012 Q4,Visa,Worker (Previously Tier 2),Education,483
2012,2012 Q4,Visa,Worker (Previously Tier 2),Human Health and Social Work Activities,378
2012,2012 Q4,Visa,Worker (Previously Tier 2),"Arts, Entertainment and Recreation",108
2012,2012 Q4,Visa,Worker (Previously Tier 2),Other Service Activities,99
2012,2012 Q4,Visa,Worker (Previously Tier 2),Activities of extraterritorial organisations and bodies,3
2012,2012 Q4,Visa,Temporary Worker (Previously Tier 5),"Agriculture, Forestry and Fishing",3
2012,2012 Q4,Visa,Temporary Worker (Previously Tier 5),Wholesale and retail trade; repair of motor vehicles and motorcycles,20
2012,2012 Q4,Visa,Temporary Worker (Previously Tier 5),Accommodation and Food Service Activities,38
2012,2012 Q4,Visa,Temporary Worker (Previously Tier 5),Information and Communications,228
2012,2012 Q4,Visa,Temporary Worker (Previously Tier 5),Financial and Insurance Activities,2
2012,2012 Q4,Visa,Temporary Worker (Previously Tier 5),Real estate activities,1
2012,2012 Q4,Visa,Temporary Worker (Previously Tier 5),"Professional, Scientific and Technical Activities",176
2012,2012 Q4,Visa,Temporary Worker (Previously Tier 5),Administrative and support service activities,205
2012,2012 Q4,Visa,Temporary Worker (Previously Tier 5),Public administration and defence; compulsory social security,21
2012,2012 Q4,Visa,Temporary Worker (Previously Tier 5),Education,797
2012,2012 Q4,Visa,Temporary Worker (Previously Tier 5),Human Health and Social Work Activities,195
2012,2012 Q4,Visa,Temporary Worker (Previously Tier 5),"Arts, Entertainment and Recreation","7,225"
2012,2012 Q4,Visa,Temporary Worker (Previously Tier 5),Other Service Activities,319
2012,2012 Q4,Visa,Temporary Worker (Previously Tier 5),Activities of households as employers; production activities of household for own use,15
2012,2012 Q4,Visa,Temporary Worker (Previously Tier 5),Activities of extraterritorial organisations and bodies,63
2012,2012 Q4,Extensions of stay,Worker (Previously Tier 2),"Agriculture, Forestry and Fishing",6
2012,2012 Q4,Extensions of stay,Worker (Previously Tier 2),Mining and Quarrying,121
2012,2012 Q4,Extensions of stay,Worker (Previously Tier 2),Manufacturing,426
2012,2012 Q4,Extensions of stay,Worker (Previously Tier 2),"Electricity, gas, steam and air conditioning supply",55
2012,2012 Q4,Extensions of stay,Worker (Previously Tier 2),"Water supply; sewerage, waste management and remediation activities",9
2012,2012 Q4,Extensions of stay,Worker (Previously Tier 2),Construction,76
2012,2012 Q4,Extensions of stay,Worker (Previously Tier 2),Wholesale and retail trade; repair of motor vehicles and motorcycles,168
2012,2012 Q4,Extensions of stay,Worker (Previously Tier 2),Transportation and Storage,58
2012,2012 Q4,Extensions of stay,Worker (Previously Tier 2),Accommodation and Food Service Activities,595
2012,2012 Q4,Extensions of stay,Worker (Previously Tier 2),Information and Communications,"1,709"
2012,2012 Q4,Extensions of stay,Worker (Previously Tier 2),Financial and Insurance Activities,860
2012,2012 Q4,Extensions of stay,Worker (Previously Tier 2),Real estate activities,7
2012,2012 Q4,Extensions of stay,Worker (Previously Tier 2),"Professional, Scientific and Technical Activities","1,212"
2012,2012 Q4,Extensions of stay,Worker (Previously Tier 2),Administrative and support service activities,135
2012,2012 Q4,Extensions of stay,Worker (Previously Tier 2),Public administration and defence; compulsory social security,87
2012,2012 Q4,Extensions of stay,Worker (Previously Tier 2),Education,970
2012,2012 Q4,Extensions of stay,Worker (Previously Tier 2),Human Health and Social Work Activities,"1,334"
2012,2012 Q4,Extensions of stay,Worker (Previously Tier 2),"Arts, Entertainment and Recreation",161
2012,2012 Q4,Extensions of stay,Worker (Previously Tier 2),Other Service Activities,110
2012,2012 Q4,Extensions of stay,Worker (Previously Tier 2),Activities of households as employers; production activities of household for own use,2
2012,2012 Q4,Extensions of stay,Worker (Previously Tier 2),Activities of extraterritorial organisations and bodies,4
2012,2012 Q4,Extensions of stay,Temporary Worker (Previously Tier 5),"Professional, Scientific and Technical Activities",10
2012,2012 Q4,Extensions of stay,Temporary Worker (Previously Tier 5),Administrative and support service activities,11
2012,2012 Q4,Extensions of stay,Temporary Worker (Previously Tier 5),Public administration and defence; compulsory social security,1
2012,2012 Q4,Extensions of stay,Temporary Worker (Previously Tier 5),Education,22
2012,2012 Q4,Extensions of stay,Temporary Worker (Previously Tier 5),Human Health and Social Work Activities,3
2012,2012 Q4,Extensions of stay,Temporary Worker (Previously Tier 5),"Arts, Entertainment and Recreation",37
2012,2012 Q4,Extensions of stay,Temporary Worker (Previously Tier 5),Other Service Activities,8
2012,2012 Q4,Extensions of stay,Temporary Worker (Previously Tier 5),Activities of extraterritorial organisations and bodies,17
2013,2013 Q1,Visa,Worker (Previously Tier 2),"Agriculture, Forestry and Fishing",12
2013,2013 Q1,Visa,Worker (Previously Tier 2),Mining and Quarrying,240
2013,2013 Q1,Visa,Worker (Previously Tier 2),Manufacturing,702
2013,2013 Q1,Visa,Worker (Previously Tier 2),"Electricity, gas, steam and air conditioning supply",51
2013,2013 Q1,Visa,Worker (Previously Tier 2),"Water supply; sewerage, waste management and remediation activities",14
2013,2013 Q1,Visa,Worker (Previously Tier 2),Construction,146
2013,2013 Q1,Visa,Worker (Previously Tier 2),Wholesale and retail trade; repair of motor vehicles and motorcycles,193
2013,2013 Q1,Visa,Worker (Previously Tier 2),Transportation and Storage,90
2013,2013 Q1,Visa,Worker (Previously Tier 2),Accommodation and Food Service Activities,105
2013,2013 Q1,Visa,Worker (Previously Tier 2),Information and Communications,"4,610"
2013,2013 Q1,Visa,Worker (Previously Tier 2),Financial and Insurance Activities,"1,255"
2013,2013 Q1,Visa,Worker (Previously Tier 2),Real estate activities,13
2013,2013 Q1,Visa,Worker (Previously Tier 2),"Professional, Scientific and Technical Activities","2,147"
2013,2013 Q1,Visa,Worker (Previously Tier 2),Administrative and support service activities,153
2013,2013 Q1,Visa,Worker (Previously Tier 2),Public administration and defence; compulsory social security,15
2013,2013 Q1,Visa,Worker (Previously Tier 2),Education,502
2013,2013 Q1,Visa,Worker (Previously Tier 2),Human Health and Social Work Activities,526
2013,2013 Q1,Visa,Worker (Previously Tier 2),"Arts, Entertainment and Recreation",131
2013,2013 Q1,Visa,Worker (Previously Tier 2),Other Service Activities,121
2013,2013 Q1,Visa,Worker (Previously Tier 2),Activities of households as employers; production activities of household for own use,2
2013,2013 Q1,Visa,Worker (Previously Tier 2),Activities of extraterritorial organisations and bodies,6
2013,2013 Q1,Visa,Temporary Worker (Previously Tier 5),"Agriculture, Forestry and Fishing",44
2013,2013 Q1,Visa,Temporary Worker (Previously Tier 5),Mining and Quarrying,3
2013,2013 Q1,Visa,Temporary Worker (Previously Tier 5),Manufacturing,6
2013,2013 Q1,Visa,Temporary Worker (Previously Tier 5),Construction,2
2013,2013 Q1,Visa,Temporary Worker (Previously Tier 5),Wholesale and retail trade; repair of motor vehicles and motorcycles,31
2013,2013 Q1,Visa,Temporary Worker (Previously Tier 5),Transportation and Storage,2
2013,2013 Q1,Visa,Temporary Worker (Previously Tier 5),Accommodation and Food Service Activities,83
2013,2013 Q1,Visa,Temporary Worker (Previously Tier 5),Information and Communications,236
2013,2013 Q1,Visa,Temporary Worker (Previously Tier 5),Financial and Insurance Activities,4
2013,2013 Q1,Visa,Temporary Worker (Previously Tier 5),Real estate activities,10
2013,2013 Q1,Visa,Temporary Worker (Previously Tier 5),"Professional, Scientific and Technical Activities",158
2013,2013 Q1,Visa,Temporary Worker (Previously Tier 5),Administrative and support service activities,262
2013,2013 Q1,Visa,Temporary Worker (Previously Tier 5),Public administration and defence; compulsory social security,19
2013,2013 Q1,Visa,Temporary Worker (Previously Tier 5),Education,629
2013,2013 Q1,Visa,Temporary Worker (Previously Tier 5),Human Health and Social Work Activities,264
2013,2013 Q1,Visa,Temporary Worker (Previously Tier 5),"Arts, Entertainment and Recreation","6,277"
2013,2013 Q1,Visa,Temporary Worker (Previously Tier 5),Other Service Activities,578
2013,2013 Q1,Visa,Temporary Worker (Previously Tier 5),Activities of households as employers; production activities of household for own use,7
2013,2013 Q1,Visa,Temporary Worker (Previously Tier 5),Activities of extraterritorial organisations and bodies,78
2013,2013 Q1,Extensions of stay,Worker (Previously Tier 2),"Agriculture, Forestry and Fishing",2
2013,2013 Q1,Extensions of stay,Worker (Previously Tier 2),Mining and Quarrying,138
2013,2013 Q1,Extensions of stay,Worker (Previously Tier 2),Manufacturing,441
2013,2013 Q1,Extensions of stay,Worker (Previously Tier 2),"Electricity, gas, steam and air conditioning supply",41
2013,2013 Q1,Extensions of stay,Worker (Previously Tier 2),"Water supply; sewerage, waste management and remediation activities",8
2013,2013 Q1,Extensions of stay,Worker (Previously Tier 2),Construction,76
2013,2013 Q1,Extensions of stay,Worker (Previously Tier 2),Wholesale and retail trade; repair of motor vehicles and motorcycles,177
2013,2013 Q1,Extensions of stay,Worker (Previously Tier 2),Transportation and Storage,44
2013,2013 Q1,Extensions of stay,Worker (Previously Tier 2),Accommodation and Food Service Activities,513
2013,2013 Q1,Extensions of stay,Worker (Previously Tier 2),Information and Communications,"1,668"
2013,2013 Q1,Extensions of stay,Worker (Previously Tier 2),Financial and Insurance Activities,751
2013,2013 Q1,Extensions of stay,Worker (Previously Tier 2),Real estate activities,23
2013,2013 Q1,Extensions of stay,Worker (Previously Tier 2),"Professional, Scientific and Technical Activities","1,135"
2013,2013 Q1,Extensions of stay,Worker (Previously Tier 2),Administrative and support service activities,128
2013,2013 Q1,Extensions of stay,Worker (Previously Tier 2),Public administration and defence; compulsory social security,50
2013,2013 Q1,Extensions of stay,Worker (Previously Tier 2),Education,824
2013,2013 Q1,Extensions of stay,Worker (Previously Tier 2),Human Health and Social Work Activities,"1,255"
2013,2013 Q1,Extensions of stay,Worker (Previously Tier 2),"Arts, Entertainment and Recreation",118
2013,2013 Q1,Extensions of stay,Worker (Previously Tier 2),Other Service Activities,107
2013,2013 Q1,Extensions of stay,Worker (Previously Tier 2),Activities of households as employers; production activities of household for own use,1
2013,2013 Q1,Extensions of stay,Worker (Previously Tier 2),Activities of extraterritorial organisations and bodies,5
2013,2013 Q1,Extensions of stay,Temporary Worker (Previously Tier 5),Accommodation and Food Service Activities,2
2013,2013 Q1,Extensions of stay,Temporary Worker (Previously Tier 5),Information and Communications,2
2013,2013 Q1,Extensions of stay,Temporary Worker (Previously Tier 5),"Professional, Scientific and Technical Activities",4
2013,2013 Q1,Extensions of stay,Temporary Worker (Previously Tier 5),Administrative and support service activities,15
2013,2013 Q1,Extensions of stay,Temporary Worker (Previously Tier 5),Education,17
2013,2013 Q1,Extensions of stay,Temporary Worker (Previously Tier 5),Human Health and Social Work Activities,3
2013,2013 Q1,Extensions of stay,Temporary Worker (Previously Tier 5),"Arts, Entertainment and Recreation",24
2013,2013 Q1,Extensions of stay,Temporary Worker (Previously Tier 5),Other Service Activities,8
2013,2013 Q1,Extensions of stay,Temporary Worker (Previously Tier 5),Activities of households as employers; production activities of household for own use,3
2013,2013 Q1,Extensions of stay,Temporary Worker (Previously Tier 5),Activities of extraterritorial organisations and bodies,14
2013,2013 Q2,Visa,Worker (Previously Tier 2),"Agriculture, Forestry and Fishing",15
2013,2013 Q2,Visa,Worker (Previously Tier 2),Mining and Quarrying,275
2013,2013 Q2,Visa,Worker (Previously Tier 2),Manufacturing,661
2013,2013 Q2,Visa,Worker (Previously Tier 2),"Electricity, gas, steam and air conditioning supply",47
2013,2013 Q2,Visa,Worker (Previously Tier 2),"Water supply; sewerage, waste management and remediation activities",5
2013,2013 Q2,Visa,Worker (Previously Tier 2),Construction,185
2013,2013 Q2,Visa,Worker (Previously Tier 2),Wholesale and retail trade; repair of motor vehicles and motorcycles,217
2013,2013 Q2,Visa,Worker (Previously Tier 2),Transportation and Storage,93
2013,2013 Q2,Visa,Worker (Previously Tier 2),Accommodation and Food Service Activities,144
2013,2013 Q2,Visa,Worker (Previously Tier 2),Information and Communications,"5,078"
2013,2013 Q2,Visa,Worker (Previously Tier 2),Financial and Insurance Activities,"1,635"
2013,2013 Q2,Visa,Worker (Previously Tier 2),Real estate activities,29
2013,2013 Q2,Visa,Worker (Previously Tier 2),"Professional, Scientific and Technical Activities","2,117"
2013,2013 Q2,Visa,Worker (Previously Tier 2),Administrative and support service activities,119
2013,2013 Q2,Visa,Worker (Previously Tier 2),Public administration and defence; compulsory social security,5
2013,2013 Q2,Visa,Worker (Previously Tier 2),Education,701
2013,2013 Q2,Visa,Worker (Previously Tier 2),Human Health and Social Work Activities,470
2013,2013 Q2,Visa,Worker (Previously Tier 2),"Arts, Entertainment and Recreation",150
2013,2013 Q2,Visa,Worker (Previously Tier 2),Other Service Activities,154
2013,2013 Q2,Visa,Worker (Previously Tier 2),Activities of households as employers; production activities of household for own use,2
2013,2013 Q2,Visa,Worker (Previously Tier 2),Activities of extraterritorial organisations and bodies,3
2013,2013 Q2,Visa,Temporary Worker (Previously Tier 5),"Agriculture, Forestry and Fishing",6
2013,2013 Q2,Visa,Temporary Worker (Previously Tier 5),Manufacturing,13
2013,2013 Q2,Visa,Temporary Worker (Previously Tier 5),Construction,2
2013,2013 Q2,Visa,Temporary Worker (Previously Tier 5),Wholesale and retail trade; repair of motor vehicles and motorcycles,39
2013,2013 Q2,Visa,Temporary Worker (Previously Tier 5),Transportation and Storage,3
2013,2013 Q2,Visa,Temporary Worker (Previously Tier 5),Accommodation and Food Service Activities,61
2013,2013 Q2,Visa,Temporary Worker (Previously Tier 5),Information and Communications,210
2013,2013 Q2,Visa,Temporary Worker (Previously Tier 5),Financial and Insurance Activities,3
2013,2013 Q2,Visa,Temporary Worker (Previously Tier 5),Real estate activities,2
2013,2013 Q2,Visa,Temporary Worker (Previously Tier 5),"Professional, Scientific and Technical Activities",239
2013,2013 Q2,Visa,Temporary Worker (Previously Tier 5),Administrative and support service activities,562
2013,2013 Q2,Visa,Temporary Worker (Previously Tier 5),Public administration and defence; compulsory social security,36
2013,2013 Q2,Visa,Temporary Worker (Previously Tier 5),Education,"1,574"
2013,2013 Q2,Visa,Temporary Worker (Previously Tier 5),Human Health and Social Work Activities,318
2013,2013 Q2,Visa,Temporary Worker (Previously Tier 5),"Arts, Entertainment and Recreation","9,284"
2013,2013 Q2,Visa,Temporary Worker (Previously Tier 5),Other Service Activities,787
2013,2013 Q2,Visa,Temporary Worker (Previously Tier 5),Activities of households as employers; production activities of household for own use,10
2013,2013 Q2,Visa,Temporary Worker (Previously Tier 5),Activities of extraterritorial organisations and bodies,102
2013,2013 Q2,Extensions of stay,Worker (Previously Tier 2),"Agriculture, Forestry and Fishing",10
2013,2013 Q2,Extensions of stay,Worker (Previously Tier 2),Mining and Quarrying,123
2013,2013 Q2,Extensions of stay,Worker (Previously Tier 2),Manufacturing,428
2013,2013 Q2,Extensions of stay,Worker (Previously Tier 2),"Electricity, gas, steam and air conditioning supply",76
2013,2013 Q2,Extensions of stay,Worker (Previously Tier 2),"Water supply; sewerage, waste management and remediation activities",7
2013,2013 Q2,Extensions of stay,Worker (Previously Tier 2),Construction,101
2013,2013 Q2,Extensions of stay,Worker (Previously Tier 2),Wholesale and retail trade; repair of motor vehicles and motorcycles,250
2013,2013 Q2,Extensions of stay,Worker (Previously Tier 2),Transportation and Storage,64
2013,2013 Q2,Extensions of stay,Worker (Previously Tier 2),Accommodation and Food Service Activities,844
2013,2013 Q2,Extensions of stay,Worker (Previously Tier 2),Information and Communications,"2,105"
2013,2013 Q2,Extensions of stay,Worker (Previously Tier 2),Financial and Insurance Activities,917
2013,2013 Q2,Extensions of stay,Worker (Previously Tier 2),Real estate activities,27
2013,2013 Q2,Extensions of stay,Worker (Previously Tier 2),"Professional, Scientific and Technical Activities","1,250"
2013,2013 Q2,Extensions of stay,Worker (Previously Tier 2),Administrative and support service activities,173
2013,2013 Q2,Extensions of stay,Worker (Previously Tier 2),Public administration and defence; compulsory social security,59
2013,2013 Q2,Extensions of stay,Worker (Previously Tier 2),Education,"1,091"
2013,2013 Q2,Extensions of stay,Worker (Previously Tier 2),Human Health and Social Work Activities,"1,813"
2013,2013 Q2,Extensions of stay,Worker (Previously Tier 2),"Arts, Entertainment and Recreation",185
2013,2013 Q2,Extensions of stay,Worker (Previously Tier 2),Other Service Activities,139
2013,2013 Q2,Extensions of stay,Worker (Previously Tier 2),Activities of households as employers; production activities of household for own use,3
2013,2013 Q2,Extensions of stay,Worker (Previously Tier 2),Activities of extraterritorial organisations and bodies,7
2013,2013 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),Information and Communications,1
2013,2013 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),"Professional, Scientific and Technical Activities",10
2013,2013 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),Administrative and support service activities,10
2013,2013 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),Public administration and defence; compulsory social security,2
2013,2013 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),Education,40
2013,2013 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),Human Health and Social Work Activities,5
2013,2013 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),"Arts, Entertainment and Recreation",31
2013,2013 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),Other Service Activities,24
2013,2013 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),Activities of households as employers; production activities of household for own use,1
2013,2013 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),Activities of extraterritorial organisations and bodies,19
2013,2013 Q3,Visa,Worker (Previously Tier 2),"Agriculture, Forestry and Fishing",14
2013,2013 Q3,Visa,Worker (Previously Tier 2),Mining and Quarrying,278
2013,2013 Q3,Visa,Worker (Previously Tier 2),Manufacturing,651
2013,2013 Q3,Visa,Worker (Previously Tier 2),"Electricity, gas, steam and air conditioning supply",61
2013,2013 Q3,Visa,Worker (Previously Tier 2),"Water supply; sewerage, waste management and remediation activities",6
2013,2013 Q3,Visa,Worker (Previously Tier 2),Construction,139
2013,2013 Q3,Visa,Worker (Previously Tier 2),Wholesale and retail trade; repair of motor vehicles and motorcycles,202
2013,2013 Q3,Visa,Worker (Previously Tier 2),Transportation and Storage,97
2013,2013 Q3,Visa,Worker (Previously Tier 2),Accommodation and Food Service Activities,147
2013,2013 Q3,Visa,Worker (Previously Tier 2),Information and Communications,"5,781"
2013,2013 Q3,Visa,Worker (Previously Tier 2),Financial and Insurance Activities,"1,792"
2013,2013 Q3,Visa,Worker (Previously Tier 2),Real estate activities,13
2013,2013 Q3,Visa,Worker (Previously Tier 2),"Professional, Scientific and Technical Activities","2,574"
2013,2013 Q3,Visa,Worker (Previously Tier 2),Administrative and support service activities,171
2013,2013 Q3,Visa,Worker (Previously Tier 2),Public administration and defence; compulsory social security,28
2013,2013 Q3,Visa,Worker (Previously Tier 2),Education,993
2013,2013 Q3,Visa,Worker (Previously Tier 2),Human Health and Social Work Activities,548
2013,2013 Q3,Visa,Worker (Previously Tier 2),"Arts, Entertainment and Recreation",194
2013,2013 Q3,Visa,Worker (Previously Tier 2),Other Service Activities,124
2013,2013 Q3,Visa,Worker (Previously Tier 2),Activities of households as employers; production activities of household for own use,1
2013,2013 Q3,Visa,Worker (Previously Tier 2),Activities of extraterritorial organisations and bodies,5
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),"Agriculture, Forestry and Fishing",11
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Manufacturing,4
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Wholesale and retail trade; repair of motor vehicles and motorcycles,36
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Transportation and Storage,2
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Accommodation and Food Service Activities,74
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Information and Communications,394
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Financial and Insurance Activities,2
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),"Professional, Scientific and Technical Activities",295
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Administrative and support service activities,394
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Public administration and defence; compulsory social security,36
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Education,"1,498"
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Human Health and Social Work Activities,416
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),"Arts, Entertainment and Recreation","7,919"
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Other Service Activities,786
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Activities of households as employers; production activities of household for own use,16
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Activities of extraterritorial organisations and bodies,93
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),"Agriculture, Forestry and Fishing",10
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Mining and Quarrying,150
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Manufacturing,452
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),"Electricity, gas, steam and air conditioning supply",44
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),"Water supply; sewerage, waste management and remediation activities",5
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Construction,83
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Wholesale and retail trade; repair of motor vehicles and motorcycles,212
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Transportation and Storage,54
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Accommodation and Food Service Activities,678
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Information and Communications,"1,472"
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Financial and Insurance Activities,"1,182"
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Real estate activities,24
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),"Professional, Scientific and Technical Activities","1,448"
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Administrative and support service activities,184
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Public administration and defence; compulsory social security,73
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Education,"1,185"
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Human Health and Social Work Activities,"2,198"
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),"Arts, Entertainment and Recreation",170
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Other Service Activities,106
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Activities of households as employers; production activities of household for own use,2
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Activities of extraterritorial organisations and bodies,2
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Accommodation and Food Service Activities,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Information and Communications,3
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Financial and Insurance Activities,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),"Professional, Scientific and Technical Activities",12
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Administrative and support service activities,25
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Education,33
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Human Health and Social Work Activities,8
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),"Arts, Entertainment and Recreation",38
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Other Service Activities,9
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Activities of households as employers; production activities of household for own use,2
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Activities of extraterritorial organisations and bodies,27
2013,2013 Q4,Visa,Worker (Previously Tier 2),"Agriculture, Forestry and Fishing",6
2013,2013 Q4,Visa,Worker (Previously Tier 2),Mining and Quarrying,196
2013,2013 Q4,Visa,Worker (Previously Tier 2),Manufacturing,586
2013,2013 Q4,Visa,Worker (Previously Tier 2),"Electricity, gas, steam and air conditioning supply",49
2013,2013 Q4,Visa,Worker (Previously Tier 2),"Water supply; sewerage, waste management and remediation activities",9
